epoch,batch_idx,loss,accuracy
0,0,1.7577799558639526,0.109375
0,1,1.7898255586624146,0.078125
0,2,1.7568527460098267,0.171875
0,3,1.7954983711242676,0.1015625
0,4,1.7300087213516235,0.1328125
0,5,1.782071590423584,0.1328125
0,6,1.8711228370666504,0.078125
0,7,1.696824312210083,0.1640625
0,8,1.7707586288452148,0.140625
0,9,1.7078378200531006,0.1875
0,10,1.5711365938186646,0.2265625
0,11,1.6941955089569092,0.1875
0,12,1.7064391374588013,0.203125
0,13,1.7120260000228882,0.15625
0,14,1.5700191259384155,0.171875
0,15,1.7209819555282593,0.2109375
0,16,1.5824347734451294,0.2265625
0,17,1.558443307876587,0.28125
0,18,1.621130347251892,0.1875
0,19,1.6413764953613281,0.171875
0,20,1.5045206546783447,0.2265625
0,21,1.5039465427398682,0.28125
0,22,1.6078999042510986,0.203125
0,23,1.571376919746399,0.25
0,0,1.7577799558639526,0.109375
0,24,1.533425211906433,0.234375
0,1,1.7898255586624146,0.078125
0,25,1.3483535051345825,0.3046875
0,2,1.7568527460098267,0.171875
0,26,1.5266741514205933,0.2734375
0,3,1.7954983711242676,0.1015625
0,27,1.5523910522460938,0.2890625
0,4,1.7300087213516235,0.1328125
0,28,1.46401047706604,0.28125
0,5,1.782071590423584,0.1328125
0,29,1.3904004096984863,0.3125
0,6,1.8711228370666504,0.078125
0,30,1.546677589416504,0.2578125
0,7,1.696824312210083,0.1640625
0,31,1.5677555799484253,0.203125
0,8,1.7707586288452148,0.140625
0,32,1.6054308414459229,0.1484375
0,9,1.7078378200531006,0.1875
0,33,1.525712251663208,0.21875
0,10,1.5711365938186646,0.2265625
0,34,1.5442378520965576,0.1796875
0,11,1.6941955089569092,0.1875
0,35,1.5162382125854492,0.25
0,12,1.7064391374588013,0.203125
0,36,1.5676078796386719,0.25
0,13,1.7120260000228882,0.15625
0,37,1.4514570236206055,0.265625
0,14,1.5700191259384155,0.171875
0,38,1.5212147235870361,0.25
0,15,1.7209819555282593,0.2109375
0,39,1.4379621744155884,0.296875
0,16,1.5824347734451294,0.2265625
0,40,1.4768606424331665,0.28125
0,17,1.558443307876587,0.28125
0,41,1.554386854171753,0.21875
0,18,1.621130347251892,0.1875
0,42,1.349185585975647,0.3125
0,19,1.6413764953613281,0.171875
0,43,1.2617040872573853,0.3828125
0,20,1.5045206546783447,0.2265625
0,44,1.4602606296539307,0.28125
0,21,1.5039465427398682,0.28125
0,45,1.4459409713745117,0.265625
0,22,1.6078999042510986,0.203125
0,46,1.390754222869873,0.3984375
0,23,1.571376919746399,0.25
0,47,1.3913469314575195,0.28125
0,24,1.533425211906433,0.234375
0,48,1.3701171875,0.3359375
0,25,1.3483535051345825,0.3046875
0,49,1.3953241109848022,0.3359375
0,26,1.5266741514205933,0.2734375
0,50,1.4084522724151611,0.296875
0,27,1.5523910522460938,0.2890625
0,51,1.4806873798370361,0.234375
0,28,1.46401047706604,0.28125
0,52,1.5591042041778564,0.234375
0,29,1.3904004096984863,0.3125
0,53,1.5044358968734741,0.2734375
0,30,1.546677589416504,0.2578125
0,54,1.3556371927261353,0.3359375
0,31,1.5677555799484253,0.203125
0,55,1.265066385269165,0.359375
0,32,1.6054308414459229,0.1484375
0,56,1.299873948097229,0.3515625
0,33,1.525712251663208,0.21875
0,57,1.4011422395706177,0.3046875
0,34,1.5442378520965576,0.1796875
0,58,1.3752360343933105,0.3203125
0,35,1.5162382125854492,0.25
0,59,1.3337875604629517,0.3515625
0,36,1.5676078796386719,0.25
0,60,1.3736411333084106,0.3203125
0,37,1.4514570236206055,0.265625
0,61,1.4464012384414673,0.2890625
0,38,1.5212147235870361,0.25
0,62,1.420292615890503,0.265625
0,39,1.4379621744155884,0.296875
0,63,1.3847986459732056,0.2578125
0,40,1.4768606424331665,0.28125
0,64,1.4934815168380737,0.2734375
0,41,1.554386854171753,0.21875
0,65,1.3484811782836914,0.328125
0,42,1.349185585975647,0.3125
0,66,1.3355400562286377,0.3125
0,43,1.2617040872573853,0.3828125
0,67,1.374416470527649,0.2734375
0,44,1.4602606296539307,0.28125
0,68,1.4024500846862793,0.3046875
0,45,1.4459409713745117,0.265625
0,69,1.2274343967437744,0.4609375
0,46,1.390754222869873,0.3984375
